Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_46     25.562599       6.083300        15.708797       17.129999      
FLOW_OUT_46     0.708800        0.337055        9.741243        5.325000       
FLOW_OUT_46     0.000000        0.251666        6.440889        1.616000       
FLOW_OUT_46     0.000000        0.139140        5.362752        0.675500       
FLOW_OUT_46     0.000000        0.081557        4.530691        0.314200       
FLOW_OUT_46     0.000000        0.170614        4.067460        0.196300       
FLOW_OUT_46     0.000000        0.331875        4.295774        0.837900       
FLOW_OUT_46     0.000000        1.513100        6.439275        4.919000       
FLOW_OUT_51     9.340600        2.571575        13.531961       13.850000      
FLOW_OUT_51     10.608600       5.023499        12.848999       9.251000       
FLOW_OUT_51     24.981300       13.129250       43.835052       25.790001      
FLOW_OUT_51     52.625000       18.610001       87.761665       52.799999      
FLOW_OUT_51     47.888699       21.085751       55.777874       61.900002      
FLOW_OUT_51     10.356000       2.584821        35.417416       29.010000      
FLOW_OUT_51     6.174500        1.367111        26.996603       7.694000       
FLOW_OUT_51     2.120000        0.450625        15.844522       1.313000       
FLOW_OUT_51     3.941000        0.477496        13.925771       0.787200       
FLOW_OUT_51     17.916000       2.864861        17.542351       7.395000       
FLOW_OUT_51     16.865801       5.037660        13.448503       11.670000      
FLOW_OUT_51     23.900299       8.414906        19.595070       16.629999      
FLOW_OUT_51     15.966400       8.510611        13.489724       13.590000      
FLOW_OUT_51     18.980000       12.938125       43.276005       22.559999      
FLOW_OUT_51     49.460300       17.204643       76.289642       48.369999      
FLOW_OUT_51     57.510300       7.779090        46.266674       54.180000      
FLOW_OUT_51     26.240700       5.782300        33.429695       22.040001      
FLOW_OUT_51     5.503200        0.619553        22.827627       5.687000       
FLOW_OUT_51     5.430500        0.427561        13.028600       0.671100       
FLOW_OUT_51     12.250400       2.186667        18.131201       7.241000       
FLOW_OUT_51     11.012100       6.448545        15.536402       14.760000      
FLOW_OUT_51     12.322100       7.818917        13.312825       12.360000      
FLOW_OUT_51     15.673300       10.289782       22.098585       15.770000      
FLOW_OUT_51     15.640300       12.103157       37.253998       19.940001      
FLOW_OUT_51     45.632401       17.810286       65.660110       48.240002      
FLOW_OUT_51     36.361900       9.349935        37.600101       42.650002      
FLOW_OUT_51     7.021900        1.071543        24.838110       13.020000      
FLOW_OUT_51     0.960000        0.508312        16.921356       3.874000       
FLOW_OUT_51     0.900000        0.327088        14.535460       1.770000       
FLOW_OUT_51     1.900000        0.271340        13.474530       0.971400       
FLOW_OUT_51     2.900000        0.237550        11.205198       0.559400       
FLOW_OUT_51     4.865800        0.448069        10.806499       0.506600       
FLOW_OUT_51     6.230700        0.174391        10.290350       0.983100       
FLOW_OUT_51     0.057000        0.614898        8.745775        1.156000       
FLOW_OUT_51     0.708400        1.365275        9.022150        7.063000       
FLOW_OUT_51     2.947000        3.642865        26.843887       13.300000      
FLOW_OUT_51     27.819201       11.170406       74.582748       39.020000      
FLOW_OUT_51     41.015499       15.128334       49.608337       53.200001      
FLOW_OUT_51     8.457900        3.098937        34.064453       33.889999      
FLOW_OUT_51     0.236200        0.908685        21.878387       8.016000       
FLOW_OUT_51     0.000000        0.421089        15.192080       2.577000       
FLOW_OUT_51     0.000000        0.275422        12.910958       1.260000       
FLOW_OUT_51     0.000000        0.344029        12.253489       0.703300       
FLOW_OUT_51     0.018700        0.430942        10.299726       0.483200       
FLOW_OUT_51     10.834600       0.819893        9.597601        2.453000       
FLOW_OUT_51     18.775400       1.746179        10.031799       7.392000       
FLOW_OUT_51     25.660500       3.226250        9.353748        6.194000       
FLOW_OUT_51     10.275500       4.832858        12.344668       9.493000       
FLOW_OUT_51     86.540001       9.344029        63.339596       24.950001      
FLOW_OUT_51     67.863899       11.111608       47.516048       45.930000      
FLOW_OUT_51     31.769300       1.094779        25.238588       23.639999      
FLOW_OUT_51     10.478700       0.925801        16.002586       5.086000       
FLOW_OUT_51     5.225800        0.590005        12.385806       2.081000       
FLOW_OUT_51     2.046700        0.247443        11.027214       1.180000       
FLOW_OUT_51     8.135500        0.227158        10.435881       0.681600       
FLOW_OUT_51     6.401300        0.644013        9.933309        1.095000       
FLOW_OUT_51     20.559999       1.046067        9.141920        3.462000       
FLOW_OUT_51     18.347700       2.159437        12.032654       5.523000       
FLOW_OUT_51     10.700000       4.842667        16.901335       14.850000      
FLOW_OUT_51     27.298100       7.123659        24.296747       13.900000      
FLOW_OUT_51     36.777302       9.709035        40.911430       32.490002      
FLOW_OUT_51     60.249699       2.431016        18.785824       20.360001      
FLOW_OUT_51     19.254000       0.451754        12.928117       5.871000       
FLOW_OUT_51     7.000000        0.372775        10.126268       2.221000       
FLOW_OUT_51     4.000000        0.303707        9.504929        1.143000       
FLOW_OUT_51     0.000000        0.149423        8.590427        0.668300       
FLOW_OUT_51     0.000000        0.104009        7.985162        0.415600       
FLOW_OUT_51     1.535300        0.117725        7.733952        0.252500       
FLOW_OUT_51     2.903900        0.129443        7.177750        0.162400       
FLOW_OUT_51     26.533899       3.820125        11.749970       13.460000      
FLOW_OUT_51     15.000000       0.275070        7.796540        5.227000       
FLOW_OUT_51     10.000000       0.151889        6.284823        2.073000       
FLOW_OUT_51     4.000000        0.097472        5.431503        1.009000       
FLOW_OUT_51     0.000000        0.070205        4.620587        0.467400       
FLOW_OUT_51     0.038400        0.070857        4.430156        0.224900       
FLOW_OUT_51     2.470000        0.182549        4.398944        0.193300       
FLOW_OUT_51     11.472900       0.288573        4.145600        1.064000       
FLOW_OUT_51     10.834500       0.507481        3.676340        1.562000       
FLOW_OUT_51     13.458700       0.680276        3.717513        1.784000       
FLOW_OUT_51     19.697800       0.833196        6.946235        2.343000       
FLOW_OUT_51     24.650700       1.814188        24.659706       15.270000      
FLOW_OUT_51     30.235500       3.459000        14.152909       16.680000      
FLOW_OUT_51     3.196700        0.293244        8.634738        6.366000       
FLOW_OUT_51     0.000000        0.148485        6.317053        2.283000       
FLOW_OUT_51     0.000000        0.091441        5.183735        1.073000       
FLOW_OUT_51     0.000000        0.065497        4.639366        0.489700       
FLOW_OUT_51     0.000000        0.139098        4.033238        0.236100       
FLOW_OUT_51     0.000000        0.339327        3.920708        0.883800       
FLOW_OUT_51     0.000000        0.684560        3.804771        2.414000       
FLOW_OUT_51     0.000000        0.398452        3.519308        2.386000       
FLOW_OUT_51     0.000000        1.283135        5.531216        2.028000       
FLOW_OUT_51     0.000000        2.343212        31.259310       14.450000      
FLOW_OUT_51     35.024700       4.849444        36.484875       31.080000      
FLOW_OUT_51     29.771700       5.432042        25.316219       30.020000      
FLOW_OUT_51     18.636600       0.569926        16.253584       10.920000      
FLOW_OUT_51     10.000000       0.298080        11.356099       3.232000       
FLOW_OUT_51     3.000000        0.256227        9.544106        1.474000       
FLOW_OUT_51     2.000000        0.137550        7.713613        0.810600       
FLOW_OUT_51     0.000000        0.174243        6.629725        0.439300       
FLOW_OUT_51     0.000000        0.284069        6.057126        0.303200       
FLOW_OUT_51     0.000000        0.736065        7.038007        3.209000       
