 FLOW_OUT_46
observed          L95PPU         U95PPU         Best_Sim       M95PPU
23.900299       8.414906        19.595070       16.629999       15.497529      
15.966400       8.510611        13.489724       13.590000       11.653482      
18.980000       12.938125       43.276005       22.559999       27.920347      
49.460300       17.204643       76.289642       48.369999       56.616302      
57.510300       7.779090        46.266674       54.180000       31.323792      
26.240700       5.782300        33.429695       22.040001       16.817015      
5.503200        0.619553        22.827627       5.687000        7.573962       
5.430500        0.427561        13.028600       0.671100        2.664678       
12.250400       2.186667        18.131201       7.241000        11.538965      
11.012100       6.448545        15.536402       14.760000       11.884713      
12.322100       7.818917        13.312825       12.360000       10.775787      
15.673300       10.289782       22.098585       15.770000       16.459785      
15.640300       12.103157       37.253998       19.940001       23.453558      
45.632401       17.810286       65.660110       48.240002       51.966549      
36.361900       9.349935        37.600101       42.650002       23.015503      
7.021900        1.071543        24.838110       13.020000       10.734372      
0.960000        0.508312        16.921356       3.874000        5.909029       
0.900000        0.327088        14.535460       1.770000        3.835958       
1.900000        0.271340        13.474530       0.971400        2.725932       
2.900000        0.237550        11.205198       0.559400        2.053707       
4.865800        0.448069        10.806499       0.506600        2.434613       
6.230700        0.174391        10.290350       0.983100        1.712899       
0.057000        0.614898        8.745775        1.156000        2.837230       
0.708400        1.365275        9.022150        7.063000        6.194228       
2.947000        3.642865        26.843887       13.300000       15.354944      
27.819201       11.170406       74.582748       39.020000       51.012707      
41.015499       15.128334       49.608337       53.200001       38.227200      
8.457900        3.098937        34.064453       33.889999       17.958632      
0.236200        0.908685        21.878387       8.016000        8.264673       
0.000000        0.421089        15.192080       2.577000        4.844757       
0.000000        0.275422        12.910958       1.260000        3.259583       
0.000000        0.344029        12.253489       0.703300        2.427168       
0.018700        0.430942        10.299726       0.483200        2.434810       
10.834600       0.819893        9.597601        2.453000        5.051108       
18.775400       1.746179        10.031799       7.392000        6.497360       
25.660500       3.226250        9.353748        6.194000        5.589325       
10.275500       4.832858        12.344668       9.493000        8.549825       
86.540001       9.344029        63.339596       24.950001       35.177845      
67.863899       11.111608       47.516048       45.930000       34.541821      
31.769300       1.094779        25.238588       23.639999       11.673532      
10.478700       0.925801        16.002586       5.086000        6.355647       
5.225800        0.590005        12.385806       2.081000        4.083882       
2.046700        0.247443        11.027214       1.180000        2.776765       
8.135500        0.227158        10.435881       0.681600        2.041807       
6.401300        0.644013        9.933309        1.095000        3.876941       
20.559999       1.046067        9.141920        3.462000        3.147149       
18.347700       2.159437        12.032654       5.523000        7.275179       
10.700000       4.842667        16.901335       14.850000       12.719059      
27.298100       7.123659        24.296747       13.900000       15.845787      
36.777302       9.709035        40.911430       32.490002       30.312279      
60.249699       2.431016        18.785824       20.360001       10.686468      
19.254000       0.451754        12.928117       5.871000        5.720853       
7.000000        0.372775        10.126268       2.221000        3.518967       
4.000000        0.303707        9.504929        1.143000        2.436387       
0.000000        0.149423        8.590427        0.668300        1.790812       
0.000000        0.104009        7.985162        0.415600        1.354387       
