no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
45     -0.0329  -0.2175   0.0159   0.1292  93.9662   0.5025   0.2575  23.2250 324.3750   0.1708 307.2500 -38.4175   1.3922  -0.1128   0.3271   0.2281  -0.1138   0.0745  -0.3113  -0.1823   2.9285  -0.0431   7.7013   0.0579   0.1040  -0.1328   0.0165  18.4872  -0.0513   5.9158   0.0452   0.2555  -0.1468   0.0505   0.3050 -11.6880   0.0152   9.4075  -0.0664   0.0619  -0.0786   0.1765  -5.611753
46     -0.0938   0.3325   0.0205   0.1294  89.7588   0.5125   0.1556  29.2250 495.8750   0.1308 464.7500  54.2425   1.9447  -0.1145   0.3323   0.1867   0.0828   0.0585  -0.4823   0.0509   8.2535  -0.0445   9.9288   0.0961   0.1112  -0.1922   0.0543  13.9795  -0.0491   5.2948   0.0924   0.2915  -0.1290   0.1565   0.2430  -7.0800   0.0049   8.8225  -0.0274   0.0591  -0.0029   0.1555  -5.586563
47     -0.0781   0.0325   0.0167   0.1487  92.8187   0.1475   0.2260  35.2250 351.3250   0.1208 208.2500 -12.9925   0.8397   0.0445   0.1165   0.2212  -0.0777  -0.0195  -1.0223   0.0531   6.7625  -0.0451   9.3237   0.0811   0.0540  -0.1618   0.0429  11.7938  -0.0325   2.7073   0.0860   0.2865  -0.1715   0.1285   0.1070  -8.6160   0.0248   9.0025   0.0229   0.0470  -0.0749   0.0485  -3.510700
48      0.0049   0.1375   0.0005   0.1612  89.5563   0.9725   0.1525  29.0750 179.8250   0.1867 368.7500   2.2625   1.4518  -0.0584   0.0827   0.1901  -0.1198   0.0985  -0.4958  -0.0921   7.4725  -0.0275   8.1962   0.1329   0.0494  -0.1822   0.0507  10.4278  -0.0635   3.7078   0.1380   0.2735  -0.1800   0.1975   0.2150 -13.6080   0.0119  14.7625  -0.0581   0.0872  -0.0861   0.1945  -3.941040
49     -0.1033   0.1075   0.0337   0.1270  90.5238   0.1325   0.2207  37.4750 223.9250   0.1542 461.7500  62.7175   1.3412  -0.0907   0.2361   0.3442   0.0558  -0.0425  -1.0627  -0.2131   2.5735  -0.0317   8.5538   0.0669   0.1599  -0.1988   0.0537  15.9601  -0.0337   4.4668   0.1084   0.1085  -0.1701   0.0375   0.2090   4.1520   0.0083  10.3075   0.0094   0.1020   0.0309   0.0825  -7.063861
50     -0.0844   0.5225   0.0045   0.1567  91.8063   0.7425   0.2648  44.5250 405.2250   0.1752 355.2500  32.7725   1.0777   0.0215  -0.1435   0.3477  -0.0567   0.0265  -0.5452  -0.2241   7.2595  -0.0563  10.2587   0.0841   0.1346  -0.1937   0.0975   7.9690  -0.0349   7.6407   0.0180   0.1895  -0.1215   0.0115   0.4630   3.6720   0.0055   8.4175  -0.0724   0.0547  -0.0171   0.1955  -4.033861
51      0.0154   0.4025   0.0271   0.1288  93.2012   0.3975   0.2669  40.7750 348.8750   0.1338 292.2500 -23.1625   1.7747   0.0105   0.2777   0.2166  -0.1423   0.0305  -0.6173   0.1301   3.1415  -0.0399   7.6737   0.1231   0.1606  -0.1427   0.1125  10.6328  -0.0609   2.0173   0.0740   0.1465  -0.1354   0.1525   0.1450 -14.2800   0.0137   7.2475  -0.0049   0.0641  -0.0651   0.0505  -5.229945
52     -0.1106   0.0125   0.0017   0.1442  92.6387   0.7575   0.2239  46.7750 427.2750   0.1252 316.2500  -5.6475   0.4997  -0.0745  -0.1071   0.2775  -0.0523  -0.0125  -0.9007  -0.2461   5.4845  -0.0357  11.2487   0.0361   0.0858  -0.1037   0.0279  15.6869  -0.0527   5.0188   0.1108   0.1125  -0.1309   0.1275   0.2710 -12.2640   0.0050  14.8525  -0.0176   0.0740   0.0076   0.0835  -8.804999
53     -0.0875   0.3075   0.0323   0.1361  93.3812   0.0175   0.2396  49.6250 537.5250   0.1523 215.7500  40.1175   1.2138  -0.0762  -0.0941   0.1786   0.0768   0.0075  -0.6892   0.0157   7.8985  -0.0331   6.6563   0.0594   0.0709  -0.1807   0.0333  19.4435  -0.0641   7.7787   0.1324   0.1285  -0.1334   0.0275   0.3670  -6.7920   0.0131  12.1525  -0.0386   0.0168  -0.0479   0.0095  -20.484720
54     -0.0203  -0.2225   0.0285   0.1565  90.7937   0.2125   0.1084  40.1750 329.2750   0.1682 326.7500  29.3825   0.8652  -0.0558   0.3583   0.3879  -0.0402  -0.0525  -0.2842  -0.2615   2.7155  -0.0493   8.4438   0.0189   0.1190  -0.1208   0.0531  12.0670  -0.0407   4.5703   0.1316   0.1555  -0.1483   0.1685   0.2210 -10.5360   0.0092  14.8975  -0.0064   0.1026  -0.0711   0.1855  -2.860380
55     -0.0140   0.2125   0.0389   0.1757  93.3363   0.4025   0.1021  48.2750 268.0250   0.1273 470.7500  20.9075   1.8342   0.0394   0.2465   0.3339  -0.1692   0.0115  -0.7117   0.0201   2.3605  -0.0335  11.3587   0.1381   0.1164  -0.1552   0.0981  17.1213  -0.0441   3.5698   0.1236   0.2465  -0.1423   0.0415   0.3010 -13.4160   0.0004  13.9525  -0.0161   0.0096   0.0159   0.1895  -4.255781
56      0.0374   0.3225   0.0199   0.1585  92.2113   0.0825   0.1829  34.9250 304.7750   0.1427 236.7500 -33.8975   0.8313  -0.0337   0.0489   0.3925   0.0018  -0.0025  -0.2348   0.1323   3.2125  -0.0285   7.8938   0.0391   0.0936  -0.1023   0.1095  14.7308  -0.0511   4.3632   0.0916   0.2685  -0.1305   0.1005   0.2170  -8.5200   0.0095   8.8675  -0.0881   0.0333  -0.0509   0.0135  -5.359167
57      0.0500   0.4275   0.0357   0.1330  90.7262   0.4525   0.1787  30.5750 287.6250   0.1608 211.2500 -45.7625   1.3837   0.0453  -0.0967   0.3373   0.0272   0.0515  -1.0942  -0.2879  -2.2545  -0.0337  11.1112   0.1036   0.1014  -0.1233   0.0405  18.8971  -0.0595   2.2243   0.1116   0.1765  -0.1136   0.1035   0.1870  -4.5840   0.0280  12.5125   0.0176   0.0668   0.0451   0.1655  -7.942906
58     -0.1054   0.5125   0.0315   0.1666  93.0888   0.4925   0.1619  49.9250 130.8250   0.1142 229.2500   8.4775   0.8058  -0.0490   0.2049   0.2384  -0.0913   0.0455  -0.6622   0.0047   4.4195  -0.0243   8.4987   0.0241   0.0943  -0.1972   0.1167  14.5942  -0.0493   6.5712   0.0836   0.2335  -0.1478   0.0355   0.3790  -5.0640   0.0283  10.8025  -0.0559   0.0041   0.0414   0.1685  -3.579824
59     -0.0571  -0.1825   0.0283   0.1415  93.8088   0.6525   0.1168  37.3250 155.3250   0.1277 220.2500  37.2925   0.4658  -0.0269   0.0983   0.3580  -0.1542   0.0365  -0.3203  -0.0877  -0.8345  -0.0381   8.3888   0.0744   0.1274  -0.1018   0.1137  20.2631  -0.0697   8.6067   0.1140   0.1325  -0.1903   0.0855   0.4750 -10.2480   0.0038  15.7525  -0.0634   0.0844   0.0249   0.1935  -3.414063
60     -0.0382   0.3575   0.0139   0.1411  93.1113   0.7675   0.1367  29.8250 559.5750   0.1098 311.7500  44.6375   1.2307  -0.1187   0.0437   0.3396  -0.1618   0.0955  -0.9862  -0.1537   0.7275  -0.0491   9.8737   0.0766   0.1125  -0.1462   0.0189  12.8867  -0.0607   7.8822   0.1260   0.2135  -0.1562   0.1895   0.4330  -3.4320   0.0043  13.3225   0.0476   0.0091   0.0429   0.1985  -7.442760
61     -0.1075  -0.2675   0.0291   0.1357  91.9863   0.3125   0.2176  24.8750 544.8750   0.1743 283.2500 -16.9475   0.9503   0.0122   0.1685   0.1717   0.0918   0.0505  -0.2887  -0.0701   4.8455  -0.0269  10.8088   0.1044   0.0904  -0.1842   0.1017  18.0091  -0.0327   6.0192   0.0444   0.2995  -0.1943   0.0685   0.1170  -6.9840   0.0242   8.3725  -0.0094   0.0129   0.0331   0.1405  -3.150316
62     -0.0991   0.0425   0.0361   0.1726  91.0188   0.2225   0.2585  31.1750 160.2250   0.1283 398.7500 -10.7325   0.7972  -0.0677  -0.1175   0.3569   0.0662  -0.0735  -0.6398  -0.1933   4.3485  -0.0323   6.4088   0.1179   0.1320  -0.1338   0.0357  18.5555  -0.0505   4.0873   0.0852   0.2885  -0.1953   0.0925   0.3830  -2.3760   0.0298  10.3525   0.0484   0.0498  -0.0846   0.0155  -4.540008
63     -0.1012   0.2925   0.0227   0.1603  90.2538   0.2475   0.2071  31.7750 302.3250   0.1893 338.7500  19.2125   1.3668  -0.0533   0.3505   0.3304   0.0903   0.0445  -0.3877  -0.0833   5.0585  -0.0535   8.3612  -0.0074   0.1203  -0.1787   0.0177   9.0618  -0.0459   7.6062   0.0244   0.2485  -0.1171   0.1415   0.1230 -11.0160   0.0056  12.1075   0.0004   0.0179  -0.0276   0.0435  -3.712927
64     -0.1442  -0.2875   0.0329   0.1303  92.5713   0.4275   0.2186  40.6250 243.5250   0.1488 434.7500 -37.8525   1.5113  -0.0983   0.1555   0.3120   0.0047  -0.0385  -0.8332   0.0971   6.3365  -0.0245  11.1662   0.0354   0.1378  -0.1187   0.1041  17.0529  -0.0331   6.1918   0.0764   0.2125  -0.1691   0.1775   0.4610 -13.2240   0.0134  15.4375  -0.0731   0.0784   0.0054   0.0605  -2.148430
65     -0.0550   0.2375   0.0221   0.1619  91.7387   0.2775   0.1220  49.0250 226.3750   0.1692 371.7500   0.5675   1.5282  -0.0023   0.0619   0.2223   0.0198  -0.0285  -0.6488  -0.0723   8.8925  -0.0325   9.0212   0.1246   0.0637  -0.1887   0.1107  16.0968  -0.0489   3.9492   0.0604   0.2905  -0.1344   0.0025   0.1090  -2.6640   0.0071   7.9675  -0.0326   0.0613   0.0166   0.0465  -4.504768
66      0.0290  -0.2375   0.0123   0.1697  93.4488   0.8625   0.1441  43.7750 118.5750   0.1883 284.7500  -8.4725   0.8823   0.0011   0.0307   0.2177   0.1142  -0.0355  -1.0762   0.0883   2.6445  -0.0343   7.2337   0.0421   0.0969  -0.1417   0.0933  15.8919  -0.0385   3.6732   0.0436   0.2565  -0.1740   0.0185   0.2010  -1.2240   0.0029  11.9275  -0.0139   0.0932  -0.0456   0.0885  -6.736431
67      0.0080   0.3825   0.0147   0.1789  93.7862   0.4475   0.2165  43.6250 170.0250   0.1373 313.2500  48.5925   0.7462  -0.1162   0.1919   0.2292   0.0573   0.0035  -0.3607  -0.0327  -1.8285  -0.0441   9.9563   0.0474   0.0650  -0.1893   0.0447   8.9936  -0.0467   4.6392   0.1284   0.1275  -0.1082   0.0905   0.3510 -12.8400   0.0110  14.2225  -0.0124   0.0107  -0.0201   0.1365  -4.791910
68     -0.1432  -0.1475   0.0209   0.1538  90.7712   0.7625   0.1745  30.7250 174.9250   0.1628 209.7500 -23.7275   1.8937  -0.0057   0.2101   0.3557   0.0318  -0.0595  -1.1033  -0.2967   7.8275  -0.0427   9.4063  -0.0089   0.1567  -0.1538   0.0831  17.1896  -0.0683   8.0892   0.1132   0.2005  -0.1948   0.1075   0.4430  -8.7120   0.0019  14.4025  -0.0514   0.0404  -0.0096   0.1055  -4.413905
69     -0.0434   0.2725   0.0125   0.1594  91.1312   0.6475   0.0958  28.7750 579.1750   0.1328 458.7500 -46.8925   1.2732  -0.1068   0.3609   0.2718  -0.1377   0.0995  -0.5138  -0.1031  -2.8935  -0.0221   8.4712   0.1306   0.1619  -0.1723   0.0345  18.4190  -0.0317   4.2943   0.0092   0.2525  -0.1785   0.0885   0.3650  -7.4640   0.0179  13.2325   0.0529   0.0228  -0.0374   0.0455  -8.769516
70      0.0532  -0.2525   0.0259   0.1762  91.8288   0.2025   0.2816  32.3750 488.5250   0.1147 403.2500  20.3425   1.6727  -0.0388   0.0541   0.2810   0.0843  -0.0275  -0.8558   0.0817   2.0055  -0.0393   7.2888   0.0924   0.1235  -0.1227   0.0471   9.4717  -0.0319   5.8123   0.0708   0.1295  -0.1884   0.1825   0.1690   1.5600   0.0161  10.7125   0.0566   0.0465  -0.0329   0.0515  -6.374244
71      0.0059   0.1225   0.0149   0.1673  91.4463   0.3025   0.1052  22.6250 184.7250   0.1947 431.7500 -11.2975   1.0862  -0.0898   0.0801   0.3362   0.0122  -0.0645  -0.6308  -0.0811   4.2775  -0.0573   8.0313   0.0466   0.1144  -0.1593   0.1005  13.8428  -0.0523   8.7448   0.0276   0.1525  -0.1250   0.1435   0.3250 -11.4000   0.0149  10.5775   0.0386   0.0481   0.0391   0.1325  -5.535273
72     -0.1190   0.1525   0.0299   0.1670  93.2688   0.2325   0.1031  36.8750 539.9750   0.1493 278.7500  14.6925   0.4317  -0.0839   0.1061   0.3132   0.0587   0.0685  -0.3248  -0.0283   8.6085  -0.0309   7.2063   0.1254   0.0683  -0.1643   0.0495  18.0774  -0.0521   5.0532   0.0980   0.1195  -0.1186   0.1835   0.3350  -8.8080   0.0299   7.0225   0.0184   0.0690  -0.0884   0.1625  -3.757034
73     -0.1253   0.6825   0.0261   0.1711  92.0987   0.1375   0.2354  20.6750 172.4750   0.1417 367.2500 -42.3725   1.9957   0.0292   0.2881   0.3316  -0.1273  -0.0245  -0.6442  -0.0195  -2.0415  -0.0505   9.7913   0.1261   0.1482  -0.1933   0.0111  21.2192  -0.0335   5.2257   0.0236   0.1115  -0.1547   0.0945   0.2930 -13.7040   0.0037   9.8575  -0.0521   0.0762  -0.0464   0.0745  -4.966002
74     -0.0613   0.4625   0.0099   0.1352  92.7063   0.1125   0.2627  20.3750 530.1750   0.1748 289.2500   6.7825   0.6528  -0.0116  -0.0733   0.3143  -0.0358  -0.0825  -0.6758  -0.2945   3.7095  -0.0531   6.6838   0.0159   0.1417  -0.1778   0.0669  17.9408  -0.0311   8.4688   0.0316   0.2625  -0.1676   0.1505   0.2130 -11.1120   0.0017  13.1875  -0.0341   0.0767  -0.0224   0.1815  -3.078829
75      0.0122  -0.0275   0.0237   0.1505  91.6488   0.3675   0.1178  26.5250 446.8750   0.1107 322.2500  31.6425   1.5538  -0.0201   0.1269   0.3408   0.0752  -0.0375  -0.2393  -0.2549   1.0115  -0.0461   6.8762   0.0121   0.1333  -0.1968   0.0219  20.6728  -0.0449   3.6388   0.0956   0.1075  -0.1111   0.1985   0.3210  -0.2640   0.0223  10.0375   0.0079   0.0377  -0.0951   0.0475  -2.931875
76      0.0143   0.2425   0.0131   0.1498  93.2462   0.6675   0.1808  23.6750 454.2250   0.1198 437.7500  33.3375   1.0098   0.0190   0.1841   0.2971   0.0798  -0.0345  -0.8288  -0.0437   7.1175  -0.0547   6.8212  -0.0096   0.1411  -0.1147   0.1011  17.2579  -0.0585   2.4657   0.0284   0.2925  -0.1834   0.0965   0.2290  -7.2720   0.0254  15.3025   0.0364   0.0261  -0.0269   0.1595  -4.363528
77      0.0248  -0.0575   0.0327   0.1597  90.3438   0.7825   0.2323  31.0250 326.8250   0.1187 274.2500   6.2175   0.7207  -0.1077   0.1373   0.2269  -0.0432   0.0135  -0.2482  -0.1559  10.1705  -0.0401   6.9862   0.0631   0.1053  -0.1138   0.0639  11.3158  -0.0413   4.7428   0.0660   0.2165  -0.1705   0.1865   0.2690  -1.4160   0.0073  14.2675  -0.0544   0.1004  -0.0989   0.0575  -2.026621
78      0.0353   0.1575   0.0347   0.1333  90.0963   0.2575   0.2302  44.0750 510.5750   0.1673 223.2500  30.5125   0.5592   0.0258  -0.1357   0.3914  -0.0388  -0.0295  -1.0087  -0.0943   7.6855  -0.0513   8.8562   0.0511   0.0995  -0.1752   0.0267   9.9497  -0.0477   5.5363   0.0020   0.1185  -0.1027   0.0575   0.1530 -10.1520   0.0224  11.0725  -0.0356   0.0982  -0.0404   0.1705  -4.130299
79     -0.0119   0.2625   0.0141   0.1426  91.9413   0.6725   0.1703  21.2750 520.3750   0.1937 418.2500   4.5225   1.1882   0.0351  -0.1487   0.3684  -0.1032   0.0165  -0.4193  -0.1339   3.6385  -0.0439   6.1887   0.0451   0.1287  -0.1433   0.0339  14.9356  -0.0679   8.1927   0.0132   0.1635  -0.1037   0.1465   0.2550 -12.4560   0.0058   7.0675   0.0334   0.0201  -0.0074   0.1175  -8.249048
80     -0.0361  -0.1025   0.0295   0.1213  92.6612   0.6575   0.1871  22.4750 199.4250   0.1213 496.2500 -26.5525   1.1287  -0.0669   0.1607   0.2465   0.0632  -0.0785  -0.7163   0.0311   0.5855  -0.0561   8.0037  -0.0066   0.1424  -0.1768   0.0747  16.5065  -0.0549   4.3288   0.0148   0.1255  -0.1240   0.0895   0.3890   2.7120   0.0206  14.6275   0.0161   0.0399  -0.0584   0.1865  -4.100350
81      0.0017   0.4925   0.0223   0.1279  89.8262   0.6125   0.0979  23.5250 260.6750   0.1583 476.7500  11.8675   1.0948   0.0020  -0.0759   0.2511   0.1187   0.0025  -0.2977   0.0619   9.3185  -0.0253  10.0112   0.1239   0.1684  -0.1152   0.0873  10.8377  -0.0581   7.3647   0.1060   0.2515  -0.1859   0.1915   0.4870  -0.3600   0.0046  12.6025  -0.0566   0.0305  -0.0546   0.1915  -6.560248
82     -0.1085   0.3125   0.0397   0.1400  92.9762   0.0125   0.1819  47.9750 402.7750   0.1612 443.7500  14.1275   0.8992  -0.1102  -0.0083   0.3891   0.0602  -0.0705  -0.2618  -0.2637   7.9695  -0.0557   7.3987   0.0886   0.0754  -0.1817   0.0867  18.3507  -0.0663   8.6757   0.0988   0.2795  -0.1498   0.1905   0.4370  -7.3680   0.0212  13.0075  -0.0851   0.0960  -0.0831   0.1635  -18.997576
83     -0.1222   0.2225   0.0197   0.1616  89.7813   0.9025   0.1189  45.5750 388.0750   0.1357 473.7500 -20.3375   1.5963  -0.1094   0.3635   0.2994  -0.0957   0.0575  -0.2573   0.0905   2.8575  -0.0475   6.7387   0.0909   0.0410  -0.1702   0.0285  12.9550  -0.0603   3.1558   0.1052   0.2675  -0.1735   0.0765   0.2490 -11.3040   0.0067  11.0275   0.0274   0.0338  -0.0921   0.0385  -7.973169
84     -0.0056   0.6775   0.0107   0.1204  92.6162   0.3475   0.1294  26.3750 319.4750   0.1468 415.2500   2.8275   1.9703  -0.0465   0.3479   0.2568   0.0422   0.0435  -0.5993   0.0245   9.1055  -0.0429   6.1062   0.0864   0.1593  -0.1998   0.0129   8.1056  -0.0689   6.2952   0.1188   0.1705  -0.1839   0.1615   0.3090  -2.5680   0.0214  13.7725   0.0356   0.0146  -0.0794   0.0495  -7.189064
85     -0.0634  -0.0375   0.0087   0.1324  91.8962   0.0525   0.2060  30.2750 478.7250   0.1452 425.7500  49.1575   0.7887  -0.0108   0.3167   0.2051   0.0302  -0.0445  -1.0313  -0.0371   9.8865  -0.0411   8.0863   0.0931   0.0481  -0.1782   0.0861  14.3210  -0.0667   7.3302   0.1396   0.2325  -0.1993   0.0735   0.2270  -9.5760   0.0115   8.5525   0.0439   0.0283  -0.0629   0.1825  -5.081903
86     -0.1148   0.0475   0.0177   0.1742  92.3238   0.8025   0.2827  31.4750 366.0250   0.1088 308.7500  38.4225   1.7493   0.0470   0.0567   0.2649  -0.1258   0.0225  -0.3383  -0.0173   0.5145  -0.0503   7.8387   0.0309   0.1001  -0.1297   0.0783  10.7010  -0.0645   7.5373   0.1516   0.1655  -0.1869   0.0795   0.4810  -4.4880   0.0022  14.9425   0.0019   0.0063  -0.0081   0.0115  -10.187459
87     -0.0287  -0.1075   0.0069   0.1556  90.6137   0.4975   0.0937  29.3750 209.2250   0.1957 271.2500 -35.0275   1.1458  -0.0431   0.2075   0.2074  -0.1018   0.0655  -0.5002  -0.2087  10.7385  -0.0261   8.2238   0.0204   0.1359  -0.1347   0.0225  12.4769  -0.0499   7.3993   0.0428   0.2715  -0.1775   0.0725   0.3150  -9.8640   0.0160  10.3975  -0.0199   0.0140  -0.0869   0.0905  -6.189706
88     -0.0886  -0.0025   0.0081   0.1379  91.2887   0.9675   0.2344  47.2250 532.6250   0.1093 452.7500  -1.1275   1.8088  -0.0082   0.2751   0.3488   0.0213   0.0725  -0.9728  -0.0481  10.8805  -0.0437   6.0788   0.0009   0.1021  -0.1042   0.0879   8.3105  -0.0685   7.0542   0.0788   0.1565  -0.1428   0.1335   0.3850   3.9600   0.0101   8.6425  -0.0536   0.0569  -0.0524   0.1205  -3.963828
89     -0.0403  -0.1325   0.0185   0.1690  90.3662   0.4225   0.1777  43.0250 221.4750   0.1103 293.7500  -6.2125   0.9247  -0.0966   0.1321   0.2327  -0.0477   0.0775  -0.3067  -0.1273   5.6265  -0.0293  10.1213   0.1299   0.0884  -0.1727   0.0771  10.2229  -0.0401   6.1227   0.0396   0.2745  -0.1889   0.1205   0.2250 -14.1840   0.0118  13.1425  -0.0251   0.0657  -0.0906   0.1745  -2.226879
90     -0.0130  -0.1875   0.0155   0.1588  89.9837   0.6325   0.1273  35.6750 346.4250   0.1517 356.7500   3.3925   0.9927  -0.0244   0.2829   0.1798   0.0347  -0.0015  -0.6712   0.0949  10.6675  -0.0481  10.6987   0.0181   0.0436  -0.1412   0.0423  20.8095  -0.0693   5.1568   0.1044   0.1435  -0.1577   0.0865   0.1570 -12.5520   0.0275   9.7225  -0.0679   0.0921  -0.0801   0.1785  -5.548689
91      0.0364   0.4325   0.0033   0.1465  93.2237   0.9925   0.1126  25.7750 468.9250   0.1877 383.7500 -19.7725   1.8427  -0.0091   0.0931   0.2338  -0.1663   0.0375  -0.5947   0.1059   4.1355  -0.0303   9.4888   0.0331   0.1034  -0.1883   0.0675  19.6483  -0.0495   6.9507   0.1460   0.2065  -0.1072   0.0985   0.3690  -3.0480   0.0011   8.7775  -0.0401   0.0250  -0.0014   0.0665  -5.222498
92      0.0458   0.6625   0.0153   0.1364  93.1563   0.6175   0.1714  38.3750 591.4250   0.1163 233.7500 -32.2025   0.4913  -0.0618   0.0333   0.2005  -0.0582   0.0545  -0.5587  -0.2373   5.3425  -0.0501   8.5813   0.1021   0.1047  -0.1408   0.0915  13.7746  -0.0321   8.1237   0.0404   0.2825  -0.1606   0.1925   0.4290 -14.7600   0.0026  12.2875  -0.0799   0.0157  -0.0306   0.1005  -7.052858
93     -0.0739  -0.1125   0.0041   0.1240  91.3337   0.0075   0.1724  36.7250 317.0250   0.1567 247.2500 -10.1675   0.6783  -0.0354   0.2309   0.1763   0.1157  -0.0435  -0.4283   0.1015  -2.6805  -0.0265   6.3263   0.0144   0.1463  -0.1123   0.0477  11.3841  -0.0437   5.4328   0.0636   0.1855  -0.1255   0.0065   0.2750  -9.1920   0.0266   7.3825   0.0416   0.0789   0.0084   0.1245  -7.159222
94     -0.0760   0.3275   0.0031   0.1738  90.7038   0.9375   0.1262  48.1250 204.3250   0.1007 373.2500 -37.2875   1.9618  -0.0346   0.0281   0.2350  -0.0822  -0.0535  -0.2438  -0.1097   8.6795  -0.0341   7.3162   0.0534   0.1437  -0.1573   0.0249  15.0040  -0.0439   7.9513   0.1412   0.2365  -0.1151   0.1185   0.2890   1.9440   0.0001  11.1625  -0.0574   0.0927   0.0091   0.0785  -9.617450
95      0.0322  -0.0625   0.0297   0.1438  90.1637   0.4425   0.1210  25.6250 549.7750   0.1593 472.2500 -18.6425   0.6442  -0.0847  -0.0057   0.2982   0.0527  -0.0765  -0.7523  -0.1229   1.6505  -0.0587  10.5337   0.0834   0.0780  -0.1312   0.0039  11.4523  -0.0475   4.8117   0.1484   0.1575  -0.1399   0.1715   0.3030 -14.4720   0.0053   8.4625  -0.0469   0.0888  -0.0351   0.0305  -7.385948
96     -0.0476  -0.0075   0.0359   0.1312  90.9962   0.2625   0.1462  26.0750 557.1250   0.1343 386.7500  17.5175   1.9787  -0.0737  -0.1123   0.2373  -0.1602  -0.0035  -1.0538  -0.2857  11.0225  -0.0329   9.4338   0.0151   0.1612  -0.1063   0.0123  13.2964  -0.0503   4.7772   0.0540   0.1015  -0.1394   0.0405   0.2050   1.8480   0.0193  11.5225  -0.0611   0.0899  -0.0141   0.1235  -2.633173
97      0.0133  -0.2625   0.0071   0.1208  91.5137   0.8775   0.2270  29.6750 214.1250   0.1618 469.2500 -38.9825   0.6273   0.0249   0.3115   0.2499  -0.0897   0.0835  -0.6037  -0.0041   7.5435  -0.0333   8.3062   0.0991   0.0696  -0.1177   0.0717   9.7449  -0.0455   3.0178   0.0212   0.1375  -0.1453   0.0135   0.4030 -14.5680   0.0208   9.5875  -0.0019   0.0195   0.0241   0.0655  -5.516596
98      0.0259   0.1625   0.0173   0.1547  90.9287   0.7525   0.1241  34.1750 444.4250   0.1762 490.2500 -33.3325   1.4857   0.0096   0.1789   0.2557  -0.1587   0.0565  -0.9367  -0.0547   2.4315  -0.0457   6.1613   0.0804   0.1515  -0.1762   0.0411   9.1301  -0.0365   5.6743   0.1204   0.2075  -0.1116   0.0435   0.2730  -7.1760   0.0005  11.2975  -0.0011   0.0355  -0.0719   0.0295  -6.294798
99     -0.0917   0.0925   0.0235   0.1570  93.3587   0.3925   0.1640  39.7250 341.5250   0.1577 421.2500 -30.5075   0.5508  -0.0975   0.1009   0.3005   0.0093   0.0765  -0.4148   0.0927  -1.6865  -0.0537   9.1038   0.0061   0.0982  -0.1032   0.0693  16.8481  -0.0533   2.1553   0.1228   0.1345  -0.1443   0.0475   0.3590  -6.5040   0.0218   9.2725   0.0169   0.0822   0.0376   0.0325  -3.665358
100     0.0332   0.6975   0.0135   0.1417  92.6837   0.4675   0.1073  43.4750 461.5750   0.1717 457.2500  46.3325   1.4688  -0.0890  -0.0993   0.2890   0.0063   0.0045  -0.6802   0.1389   2.9995  -0.0597   8.6088   0.1269   0.1365  -0.1248   0.1191  17.4627  -0.0627   7.2613   0.1172   0.1475  -0.1537   0.0455   0.1970  -0.9360   0.0226   9.9025  -0.0079   0.0652  -0.0779   0.0955  -4.949745
101    -0.1169   0.1125   0.0379   0.1661  90.8388   0.0325   0.1567  47.6750 434.6250   0.1552 479.7500  19.7775   0.9333  -0.0167   0.3401   0.2154  -0.0613  -0.0045  -0.2212  -0.1053   8.7505  -0.0267  10.3687   0.1089   0.1476  -0.1612   0.0087  14.1160  -0.0653   2.8798   0.0036   0.1875  -0.1408   0.1535   0.2850  -1.3200   0.0244   7.6075  -0.0709   0.0624   0.0466   0.0685  -5.403011
