no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
11     -0.0392   0.1475   0.0039   0.1780  93.9437   0.6825   0.2102  28.0250 407.6750   0.1963 493.2500 -40.6775   0.6187  -0.0567   0.1113   0.1936  -0.0268  -0.0895  -0.7747  -0.0635   5.1295  -0.0217   8.6637   0.0264   0.0572  -0.1077   0.0387  12.3403  -0.0597   5.2603   0.0380   0.2435  -0.1918   0.0035   0.3270  -2.1840   0.0008  14.4475  -0.0604   0.0525  -0.0156   0.0595  -3.720840
12      0.0028   0.2675   0.0351   0.1478  92.7962   0.3775   0.2701  36.4250 275.3750   0.1312 389.7500  56.5025   0.4063   0.0419   0.1503   0.2948  -0.0838  -0.0875  -0.5723  -0.1625   8.5375  -0.0281   9.5437   0.1156   0.1664  -0.1912   0.0843  20.3997  -0.0383   2.8452   0.0268   0.1155  -0.1121   0.1955   0.2230 -13.3200   0.0271  14.1325   0.0311   0.0531  -0.0216   0.1065  -5.758274
13     -0.0644  -0.2575   0.0313   0.1688  93.3138   0.1075   0.0989  34.3250 231.2750   0.1918 320.7500  50.2875   0.6867   0.0496   0.1711   0.3327  -0.0852  -0.0155  -0.3652  -0.1427   0.6565  -0.0575  11.3862   0.0016   0.0819  -0.1692   0.0807  12.8183  -0.0359   3.3282   0.0220   0.1805  -0.1770   0.1655   0.1410  -8.1360   0.0106  14.9875   0.0199   0.0883   0.0286   0.0875  -4.523182
14     -0.1211   0.6525   0.0191   0.1243  91.1988   0.8825   0.1115  42.1250 152.8750   0.1077 323.7500  -0.5625   1.2222  -0.0193  -0.1279   0.1924  -0.1182  -0.0925  -0.4868  -0.1295   5.5555  -0.0539   8.2513   0.0789   0.0423  -0.1602   0.0459  19.1702  -0.0433   3.5352   0.0332   0.1815  -0.1324   0.1805   0.4690  -2.4720   0.0245   9.3625  -0.0109   0.0289  -0.0899   0.1415  -9.294130
15      0.0196   0.3175   0.0089   0.1583  92.1438   0.9975   0.2806  36.2750 270.4750   0.1243 286.2500  27.1225   1.5453  -0.0006   0.3063   0.2660  -0.0747   0.0895  -0.7343  -0.1383  10.8095  -0.0421  11.2212   0.0166   0.1300  -0.1103   0.0027  15.4137  -0.0669   3.9148   0.0828   0.2275  -0.1206   0.0295   0.4010   2.9040   0.0200   9.2275  -0.0739   0.0553  -0.0959   0.1975  -3.973484
16     -0.0539   0.5175   0.0383   0.1222  93.7188   0.5975   0.2543  37.9250 138.1750   0.1678 395.7500  23.7325   0.8142  -0.0320   0.0749   0.3730  -0.0327  -0.0365  -1.0582  -0.2593  -2.3965  -0.0289   7.0138   0.0796   0.1268  -0.1053   0.0765  12.2037  -0.0525   7.5718   0.1444   0.1235  -0.1448   0.1165   0.2590 -13.0320   0.0151  13.5925   0.0206   0.0206   0.0406   0.0245  -6.133607
17      0.0553  -0.1575   0.0007   0.1784  89.9613   0.2075   0.1934  25.1750 417.4750   0.1988 497.7500 -19.2075   0.3467  -0.0813   0.1815   0.3833  -0.0507   0.0795  -0.7703  -0.2175   3.4965  -0.0251  10.9738   0.0316   0.1560  -0.1832   0.0195  16.5749  -0.0507   3.2938   0.0412   0.1945  -0.1319   0.1405   0.4110   3.1920   0.0044  13.9075  -0.0071   0.1059   0.0099   0.0935  -3.572416
18     -0.0004   0.6225   0.0377   0.1516  90.1862   0.0575   0.2470  40.4750 375.8250   0.1128 406.2500  26.5575   1.5028  -0.0711   0.2127   0.2453  -0.0088  -0.0805  -0.8378  -0.2065   5.9815  -0.0507   9.9012   0.0526   0.1248  -0.1548   0.0369   8.8569  -0.0485   8.3997   0.1300   0.1405  -0.1745   0.0675   0.4510  -1.8960   0.0140  15.9325   0.0581   0.0745  -0.0344   0.1575  -4.127992
19     -0.1117   0.5925   0.0231   0.1540  90.4563   0.5625   0.2428  38.5250 508.1250   0.1538 337.2500  25.9925   1.2648  -0.1060   0.2803   0.3465  -0.0672  -0.0795  -1.0358  -0.0239  -0.6925  -0.0385  10.6163   0.0129   0.1385  -0.1173   0.0927  19.9899  -0.0529   7.4338   0.0204   0.2935  -0.1532   0.0995   0.3910  -0.4560   0.0164  13.0525   0.0341   0.0701  -0.0734   0.0985  -3.307031
20      0.0511  -0.2975   0.0101   0.1235  92.5488   0.0475   0.1924  47.3750 233.7250   0.1922 448.2500  50.8525   0.9417   0.0139  -0.0135   0.3028  -0.0718  -0.0115  -0.6127  -0.1801  -1.9705  -0.0529   7.1238   0.0946   0.0670  -0.1772   0.0105  14.6624  -0.0343   5.3983   0.1476   0.2215  -0.1864   0.0815   0.2870  -3.2400   0.0292  13.6825  -0.0191   0.0987   0.0031   0.0995  -9.249907
